iter	Passed	Remaining
986	10088	132
987	10093	122
988	10097	112
989	10103	102
990	10108	91
991	10113	81
992	10119	71
993	10124	61
994	10129	50
995	10135	40
996	10139	30
997	10145	20
998	10149	10
999	10154	0
61	11133	439
962	11138	427
963	11143	416
964	11148	404
965	11153	392
966	11158	380
967	11163	369
968	11167	357
969	11172	345
970	11177	333
971	11181	322
972	11187	310
973	11191	298
974	11196	287
975	11200	275
976	11205	263
977	11211	252
978	11215	240
979	11220	228
980	11226	217
981	11230	205
982	11236	194
983	11241	182
984	11246	171
985	11251	159
986	11257	148
987	11263	136
988	11269	125
989	11274	113
990	11280	102
991	11287	91
992	11292	79
993	11297	68
994	11302	56
995	11307	45
996	11314	34
997	11319	22
998	11324	11
999	11329	0
5	416
974	15592	399
975	15602	383
976	15611	367
977	15616	351
978	15625	335
979	15632	319
980	15638	302
981	15643	286
982	15650	270
983	15655	254
984	15663	238
985	15669	222
986	15675	206
987	15681	190
988	15689	174
989	15698	158
990	15704	142
991	15710	126
992	15714	110
993	15719	94
994	15726	79
995	15731	63
996	15736	47
997	15741	31
998	15746	15
999	15751	0
21	274
985	18030	256
986	18044	237
987	18054	219
988	18065	200
989	18076	182
990	18092	164
991	18122	146
992	18132	127
993	18143	109
994	18154	91
995	18167	72
996	18176	54
997	18182	36
998	18191	18
999	18198	0
